iter	Passed	Remaining
0	16	17012
1	30	15490
2	41	14115
3	54	13835
4	70	14310
5	82	14060
6	96	13965
7	107	13630
8	118	13393
9	130	13268
10	142	13114
11	153	12975
12	164	12808
13	175	12690
14	186	12513
15	196	12410
16	208	12339
17	220	12298
18	232	12321
19	245	12338
20	259	12417
21	274	12499
22	286	12479
23	299	12474
24	311	12435
25	323	12409
26	333	12299
27	345	12300
28	357	12269
29	367	12192
30	379	12146
31	389	12080
32	399	12003
33	409	11937
34	420	11884
35	430	11813
36	441	11783
37	453	11776
38	465	11765
39	479	11801
40	490	11769
41	501	11717
42	511	11661
43	522	11627
44	531	11568
45	542	11530
46	552	11491
47	562	11447
48	575	11450
49	586	11431
50	596	11384
51	608	11365
52	617	11305
53	627	11263
54	637	11234
55	648	11214
56	660	11210
57	672	11206
58	685	11217
59	695	11181
60	706	11160
61	717	11128
62	727	11093
63	738	11071
64	749	11060
65	762	11060
66	774	11064
67	785	11036
68	794	10989
69	803	10954
70	813	10923
71	823	10885
72	834	10869
73	843	10823
74	854	10818
75	866	10812
76	880	10825
77	892	10822
78	902	10794
79	912	10769
80	922	10739
81	933	10720
82	943	10701
83	951	10650
84	963	10640
85	972	10602
86	985	10613
87	996	10601
88	1009	10600
89	1020	10595
90	1032	10581
91	1043	10568
92	1054	10557
93	1065	10538
94	1077	10533
95	1090	10536
96	1101	10526
97	1112	10507
98	1124	10505
99	1136	10504
100	1150	10511
101	1161	10501
102	1171	10478
103	1183	10467
104	1193	10449
105	1202	10415
106	1213	10400
107	1224	10382
108	1232	10345
109	1242	10322
110	1254	10322
111	1265	10303
112	1276	10292
113	1288	10288
114	1299	10273
115	1312	10271
116	1323	10260
117	1335	10254
118	1345	10234
119	1357	10223
120	1365	10191
121	1377	10185
122	1387	10164
123	1396	10134
124	1406	10114
125	1415	10088
126	1425	10067
127	1434	10043
128	1442	10009
129	1452	9987
130	1461	9963
131	1472	9950
132	1481	9924
133	1494	9923
134	1505	9916
135	1517	9910
136	1528	9897
137	1540	9892
138	1551	9875
139	1559	9847
140	1569	9828
141	1578	9804
142	1591	9801
143	1600	9783
144	1610	9764
145	1620	9746
146	1630	9726
147	1640	9710
148	1652	9704
149	1664	9700
150	1677	9698
151	1691	9703
152	1706	9715
153	1721	9727
154	1735	9730
155	1751	9747
156	1763	9737
157	1775	9729
158	1788	9730
159	1800	9723
160	1811	9708
161	1819	9682
162	1830	9669
163	1839	9643
164	1851	9639
165	1863	9632
166	1872	9607
167	1882	9593
168	1893	9580
169	1904	9569
170	1916	9562
171	1929	9555
172	1942	9556
173	1952	9540
174	1963	9528
175	1974	9515
176	1985	9499
177	1995	9485
178	2004	9463
179	2016	9455
180	2025	9434
181	2037	9423
182	2049	9417
183	2058	9398
184	2069	9385
185	2080	9373
186	2092	9364
187	2101	9347
188	2113	9339
189	2206	9684
190	2221	9687
191	2240	9709
192	2252	9699
193	2263	9681
194	2273	9666
195	2285	9652
196	2295	9637
197	2307	9625
198	2318	9610
199	2329	9599
200	2341	9587
201	2352	9572
202	2362	9554
203	2371	9533
204	2381	9516
205	2391	9497
206	2402	9482
207	2412	9464
208	2423	9449
209	2436	9442
210	2448	9433
211	2459	9421
212	2471	9409
213	2481	9391
214	2492	9378
215	2501	9357
216	2511	9338
217	2523	9330
218	2535	9318
219	2544	9300
220	2554	9283
221	2562	9259
222	2573	9243
223	2584	9230
224	2593	9210
225	2603	9191
226	2613	9177
227	2625	9167
228	2635	9150
229	2646	9136
230	2658	9127
231	2668	9109
232	2679	9095
233	2689	9079
234	2700	9065
235	2712	9058
236	2722	9042
237	2734	9031
238	2746	9020
239	2756	9003
240	2766	8987
241	2774	8966
242	2784	8949
243	2795	8936
244	2805	8918
245	2815	8905
246	2826	8892
